=== DATA REVIVER FORENSIC ANALYSIS REPORT ===
Generated: 01-11-2025 11:54:02
Examiner: Harshan
Tool Version: Data Reviver v1.0

SCAN SUMMARY:
Total Files Analyzed: 10339
Recoverable Files: 8703

DELETED FILES:
Name	Type	Size	Last Modified	Path	Recovery Status
Secure Preferences~RF2bfaca.TMP	.TMP	65573	01-11-2025 06:18:23	C:\Users\Harshan\AppData\Local\Google\Chrome\User Data\Default\Secure Preferences~RF2bfaca.TMP	Recoverable
clear-all.svg	.svg	275	19-10-2025 02:30:44	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\clear-all.svg	Resident
clippy.svg	.svg	514	19-10-2025 02:30:44	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\clippy.svg	Resident
close-all.svg	.svg	437	19-10-2025 02:30:44	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\close-all.svg	Resident
close.svg	.svg	288	19-10-2025 02:30:44	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\close.svg	Resident
cloud-download.svg	.svg	697	19-10-2025 02:30:44	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\cloud-download.svg	Recoverable
cloud-upload.svg	.svg	739	19-10-2025 02:30:44	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\cloud-upload.svg	Recoverable
cloud.svg	.svg	649	19-10-2025 02:30:44	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\cloud.svg	Resident
code-oss.svg	.svg	396	19-10-2025 02:30:44	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\code-oss.svg	Resident
code.svg	.svg	288	19-10-2025 02:30:44	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\code.svg	Resident
coffee.svg	.svg	1041	19-10-2025 02:30:44	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\coffee.svg	Recoverable
collapse-all.svg	.svg	269	19-10-2025 02:30:44	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\collapse-all.svg	Resident
color-mode.svg	.svg	178	19-10-2025 02:30:44	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\color-mode.svg	Resident
combine.svg	.svg	450	19-10-2025 02:30:44	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\combine.svg	Resident
comment-discussion.svg	.svg	372	19-10-2025 02:30:44	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\comment-discussion.svg	Resident
comment-draft.svg	.svg	634	19-10-2025 02:30:45	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\comment-draft.svg	Recoverable
comment-unresolved.svg	.svg	827	19-10-2025 02:30:45	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\comment-unresolved.svg	PartiallyOverwritten
comment.svg	.svg	242	19-10-2025 02:30:45	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\comment.svg	Resident
compass-active.svg	.svg	1575	19-10-2025 02:30:45	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\compass-active.svg	Recoverable
compass-dot.svg	.svg	962	19-10-2025 02:30:45	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\compass-dot.svg	Recoverable
compass.svg	.svg	703	19-10-2025 02:30:45	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\compass.svg	Resident
copilot.svg	.svg	3162	19-10-2025 02:30:45	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\copilot.svg	Recoverable
copy.svg	.svg	304	19-10-2025 02:30:45	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\copy.svg	Resident
coverage.svg	.svg	888	19-10-2025 02:30:45	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\coverage.svg	Recoverable
credit-card.svg	.svg	277	19-10-2025 02:30:45	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\credit-card.svg	Resident
dash.svg	.svg	132	19-10-2025 02:30:45	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\dash.svg	Resident
dashboard.svg	.svg	674	19-10-2025 02:30:45	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\dashboard.svg	Recoverable
database.svg	.svg	531	19-10-2025 02:30:45	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\database.svg	Resident
debug-all.svg	.svg	1440	19-10-2025 02:30:45	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\debug-all.svg	Recoverable
debug-alt-small.svg	.svg	705	19-10-2025 02:30:45	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\debug-alt-small.svg	Recoverable
debug-alt.svg	.svg	637	19-10-2025 02:30:45	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\debug-alt.svg	Recoverable
debug-breakpoint-conditional-unverified.svg	.svg	320	19-10-2025 02:30:45	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\debug-breakpoint-conditional-unverified.svg	Resident
debug-breakpoint-conditional.svg	.svg	220	19-10-2025 02:30:45	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\debug-breakpoint-conditional.svg	Resident
debug-breakpoint-data-unverified.svg	.svg	226	19-10-2025 02:30:45	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\debug-breakpoint-data-unverified.svg	Resident
debug-breakpoint-data.svg	.svg	168	19-10-2025 02:30:45	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\debug-breakpoint-data.svg	Resident
debug-breakpoint-function-unverified.svg	.svg	214	19-10-2025 02:30:45	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\debug-breakpoint-function-unverified.svg	Resident
debug-breakpoint-function.svg	.svg	140	19-10-2025 02:30:45	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\debug-breakpoint-function.svg	Resident
debug-breakpoint-log-unverified.svg	.svg	248	19-10-2025 02:30:45	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\debug-breakpoint-log-unverified.svg	Resident
debug-breakpoint-log.svg	.svg	142	19-10-2025 02:30:45	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\debug-breakpoint-log.svg	Resident
debug-breakpoint-unsupported.svg	.svg	263	19-10-2025 02:30:45	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\debug-breakpoint-unsupported.svg	Resident
debug-console.svg	.svg	931	19-10-2025 02:30:45	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\debug-console.svg	Recoverable
debug-continue-small.svg	.svg	315	19-10-2025 02:30:45	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\debug-continue-small.svg	Resident
debug-continue.svg	.svg	257	19-10-2025 02:30:45	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\debug-continue.svg	Resident
debug-coverage.svg	.svg	1830	19-10-2025 02:30:45	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\debug-coverage.svg	Recoverable
debug-disconnect.svg	.svg	1165	19-10-2025 02:30:45	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\debug-disconnect.svg	Recoverable
debug-line-by-line.svg	.svg	328	19-10-2025 02:30:45	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\debug-line-by-line.svg	Resident
debug-pause.svg	.svg	156	19-10-2025 02:30:45	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\debug-pause.svg	Resident
debug-rerun.svg	.svg	394	19-10-2025 02:30:45	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\debug-rerun.svg	Resident
debug-restart-frame.svg	.svg	454	19-10-2025 02:30:45	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\debug-restart-frame.svg	Resident
debug-restart.svg	.svg	304	19-10-2025 02:30:45	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\debug-restart.svg	Resident
debug-reverse-continue.svg	.svg	257	19-10-2025 02:30:45	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\debug-reverse-continue.svg	Resident
debug-stackframe-active.svg	.svg	278	19-10-2025 02:30:45	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\debug-stackframe-active.svg	Resident
debug-stackframe.svg	.svg	232	19-10-2025 02:30:45	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\debug-stackframe.svg	Resident
debug-start.svg	.svg	256	19-10-2025 02:30:45	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\debug-start.svg	Resident
debug-step-back.svg	.svg	407	19-10-2025 02:30:45	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\debug-step-back.svg	Resident
debug-step-into.svg	.svg	301	19-10-2025 02:30:45	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\debug-step-into.svg	Resident
debug-step-out.svg	.svg	298	19-10-2025 02:30:45	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\debug-step-out.svg	Resident
debug-step-over.svg	.svg	411	19-10-2025 02:30:45	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\debug-step-over.svg	Resident
debug-stop.svg	.svg	303	19-10-2025 02:30:45	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\debug-stop.svg	Resident
debug.svg	.svg	1196	19-10-2025 02:30:45	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\debug.svg	Recoverable
desktop-download.svg	.svg	321	19-10-2025 02:30:45	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\desktop-download.svg	Resident
device-camera-video.svg	.svg	249	19-10-2025 02:30:45	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\device-camera-video.svg	Resident
device-camera.svg	.svg	414	19-10-2025 02:30:45	C:\Users\Harshan\AppData\Local\Temp\076d58bf-4b6c-49ba-afa2-75a624fa3723\device-camera.svg	Resident
